OBJECTID,NAME20,ALAND20,AWATER20,GEOID,NAME,DP03_0001E,DP03_0002E,DP03_0003E,DP03_0004E,DP03_0005E,DP03_0006E,DP03_0007E,DP03_0008E,DP03_0009P,DP03_0010E,DP03_0011E,DP03_0012E,DP03_0013E,DP03_0014E,DP03_0015E,DP03_0016E,DP03_0017E,DP03_0018E,DP03_0019E,DP03_0020E,DP03_0021E,DP03_0022E,DP03_0023E,DP03_0024E,DP03_0025E,DP03_0026E,DP03_0027E,DP03_0028E,DP03_0029E,DP03_0030E,DP03_0031E,DP03_0032E,DP03_0033E,DP03_0034E,DP03_0035E,DP03_0036E,DP03_0037E,DP03_0038E,DP03_0039E,DP03_0040E,DP03_0041E,DP03_0042E,DP03_0043E,DP03_0044E,DP03_0045E,DP03_0046E,DP03_0047E,DP03_0048E,DP03_0049E,DP03_0050E,DP03_0051E,DP03_0052E,DP03_0053E,DP03_0054E,DP03_0055E,DP03_0056E,DP03_0057E,DP03_0058E,DP03_0059E,DP03_0060E,DP03_0061E,DP03_0062E,DP03_0063E,DP03_0064E,DP03_0065E,DP03_0066E,DP03_0067E,DP03_0068E,DP03_0069E,DP03_0070E,DP03_0071E,DP03_0072E,DP03_0073E,DP03_0074E,DP03_0075E,DP03_0076E,DP03_0077E,DP03_0078E,DP03_0079E,DP03_0080E,DP03_0081E,DP03_0082E,DP03_0083E,DP03_0084E,DP03_0085E,DP03_0086E,DP03_0087E,DP03_0088E,DP03_0089E,DP03_0090E,DP03_0091E,DP03_0092E,DP03_0093E,DP03_0094E,DP03_0095E,DP03_0096E,DP03_0097E,DP03_0098E,DP03_0099E,DP03_0100E,DP03_0101E,DP03_0102E,DP03_0103E,DP03_0104E,DP03_0105E,DP03_0106E,DP03_0107E,DP03_0108E,DP03_0109E,DP03_0110E,DP03_0111E,DP03_0112E,DP03_0113E,DP03_0114E,DP03_0115E,DP03_0116E,DP03_0117E,DP03_0118E,DP03_0119P,DP03_0120P,DP03_0121P,DP03_0122P,DP03_0123P,DP03_0124P,DP03_0125P,DP03_0126P,DP03_0127P,DP03_0128P,DP03_0129P,DP03_0130P,DP03_0131P,DP03_0132P,DP03_0133P,DP03_0134P,DP03_0135P,DP03_0136P,DP03_0137P,GIS_ID,SE_ANNO_CAD_DATA,GLOBALID,TRACTCE,SHAPEAREA,SHAPELEN
1,20.02,849376,0,11001002002,"Census Tract 20.02; District of Columbia; District of Columbia",3402,2607,2607,2469,138,0,795,2607,5.3,1776,1359,1359,1321,361,329,569,548,2406,762,118,308,235,95,888,30,2469,1783,73,494,19,100,2469,0,19,25,18,376,63,88,205,597,228,211,255,384,2469,1783,620,66,0,1527,52,59,49,20,28,84,98,123,115,899,244493,224856,1351,228778,308,21750,236,28156,16,0,23,0,127,976,52,0,33,36,10,67,50,122,72,534,214091,214395,80987,551,250001,222117,109583,140221,139554,4371,4320,3779,1034,51,1042,0,2842,2492,2354,2327,2222,166,27,138,114,60,54,24,350,350,271,204,0,7.5,0,0,0,0,0,7.6,0,0,8.8,0,0,0,0,11.3,10.4,16.4,6.3,16.9,ACS_Economic_DC_CensusTract_32,,{11DFC288-B65E-4967-813B-90A91B3B9C0E},002002,0,0
2,21.01,600992,0,11001002101,"Census Tract 21.01; District of Columbia; District of Columbia",4253,3403,3403,3376,27,0,850,3403,0.8,2326,1874,1874,1856,724,705,898,879,3292,1589,162,754,61,151,575,36.5,3376,1843,546,504,303,180,3376,0,243,0,0,201,231,208,98,420,825,378,319,453,3376,2479,705,192,0,2458,20,1,216,170,172,618,205,448,254,354,75879,111930,2136,116419,514,23182,212,18294,23,0,181,2713,362,1380,39,0,86,65,67,278,115,309,161,260,110461,131307,45072,1078,59522,86069,54938,94634,70920,6019,5679,3643,2522,340,1908,0,3482,3158,3131,2891,2272,682,240,27,27,9,18,0,324,248,20,231,76,4.5,7.6,0,3.8,6.2,0,7.6,12.1,0,4.6,6.1,6.1,0,8.7,4,4.1,3.5,4.9,3.8,ACS_Economic_DC_CensusTract_33,,{210D5221-9169-4E00-8E8A-85746BF173B0},002101,0,0
3,29,300632,0,11001002900,"Census Tract 29; District of Columbia; District of Columbia",3549,2931,2923,2822,101,8,618,2923,3.5,1624,1319,1319,1259,509,299,449,263,2813,675,124,921,153,208,732,30.7,2822,2080,347,237,43,115,2822,0,81,0,22,120,111,144,151,861,508,167,307,350,2822,2166,518,138,0,1672,79,11,49,26,18,118,122,285,203,761,179444,224303,1526,225011,167,16970,188,25708,0,0,81,11010,130,845,65,0,28,17,0,46,5,40,134,510,224152,280926,79764,827,117850,149475,87753,103350,91389,4553,4371,3511,1201,182,1063,0,3092,2847,2746,2575,2518,83,171,101,90,77,13,11,245,245,158,141,0,11,20.1,0,0,0,0,29.1,38.1,0,15.5,39.3,39.3,39.7,39,8.5,8.5,8.8,17.4,12,ACS_Economic_DC_CensusTract_34,,{43F4FCCD-1803-4B0C-BC48-2D81EBC583F2},002900,0,0
4,31,296819,0,11001003100,"Census Tract 31; District of Columbia; District of Columbia",3046,2648,2648,2467,181,0,398,2648,6.8,1506,1283,1283,1248,205,170,242,172,2450,777,9,607,189,302,566,32,2467,1844,263,250,12,98,2467,0,91,22,0,107,89,82,105,675,335,174,308,479,2467,1715,628,124,0,1807,55,28,0,72,131,160,205,256,473,427,144327,154688,1688,158957,125,22490,135,17887,53,0,19,0,86,527,11,0,0,0,39,40,48,15,174,200,159408,209030,80072,1280,130222,129943,92048,119167,99220,3448,3395,2721,780,53,451,0,2848,2630,2449,2414,2271,147,35,181,181,0,181,0,218,200,110,153,18,2.1,0,0,0,0,0,7.4,0,0,5.7,0,0,0,0,6.5,6.1,13.4,3.2,7.8,ACS_Economic_DC_CensusTract_35,,{F41F9D4A-09ED-41F1-B248-11CF8BDAB0EC},003100,0,0
5,40.01,271037,2414,11001004001,"Census Tract 40.01; District of Columbia; District of Columbia",3841,3442,3442,3416,26,0,399,3442,0.8,2008,1780,1780,1759,234,186,189,139,3408,834,70,841,652,198,813,28.7,3416,2879,53,357,63,64,3416,0,91,48,0,118,30,134,189,1114,674,68,293,657,3416,2452,797,167,0,2439,11,14,9,59,16,342,227,412,559,790,166131,223477,2231,209520,247,30300,283,109283,12,0,14,0,33,562,22,0,0,0,0,0,54,67,63,356,250001,431637,129411,1877,138495,158915,91815,131161,93450,4250,4250,4001,613,0,423,0,3382,3331,3305,3305,3254,67,0,26,26,26,0,0,51,51,33,18,0,3.9,10,0,4.7,12.9,0,0,0,0,3.4,16.5,16.5,22.1,10.7,1.9,2.2,0,7.1,1.2,ACS_Economic_DC_CensusTract_1,,{D80C7017-6F8C-4DAE-900E-4D45F804477A},004001,0,0
6,40.02,194755,0,11001004002,"Census Tract 40.02; District of Columbia; District of Columbia",2831,2528,2528,2425,103,0,303,2528,4.1,1535,1310,1310,1253,6,6,335,258,2363,269,110,720,566,221,477,25.8,2425,2169,22,179,27,28,2425,0,38,12,0,18,43,77,168,697,365,57,488,462,2425,1778,549,98,0,2016,69,14,59,13,54,107,152,401,359,788,170216,204699,1898,197759,379,18981,121,36568,0,0,0,0,22,490,0,0,0,0,0,0,0,48,100,342,250001,305200,125686,1526,133750,172428,103750,138472,102572,3146,3041,2934,430,105,341,0,2362,2263,2177,2123,2105,18,54,86,66,66,0,20,99,99,85,14,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,3.9,3.8,4.5,0,5.9,ACS_Economic_DC_CensusTract_2,,{5CE94594-D3F7-4CFE-A060-5FFF07C43BBA},004002,0,0
7,36,305616,0,11001003600,"Census Tract 36; District of Columbia; District of Columbia",4158,3547,3547,3460,87,0,611,3547,2.5,2363,2038,2038,1983,175,175,263,263,3443,868,34,1446,374,251,470,29.9,3460,2789,320,291,19,41,3460,0,55,0,32,74,201,202,136,1059,512,123,410,656,3460,2654,717,56,33,2152,157,116,59,21,20,239,56,618,307,559,135407,176747,1912,185491,207,10686,93,11733,21,0,15,0,157,551,0,52,0,0,0,44,17,132,72,234,161250,265696,87919,1601,122930,142960,87877,115945,88180,4619,4491,3834,828,128,463,0,3763,3450,3363,3286,3261,63,77,87,87,87,29,0,313,262,143,141,51,9.4,0,0,0,0,0,32.5,0,0,11.8,0,0,0,0,13.1,8.6,55.7,6.3,14.7,ACS_Economic_DC_CensusTract_3,,{9D914A30-FDE3-4850-93F1-5D72B3CAD60A},003600,0,0
8,42.01,204529,0,11001004201,"Census Tract 42.01; District of Columbia; District of Columbia",3260,3035,3035,2996,39,0,225,3035,1.3,1503,1415,1415,1415,13,13,0,0,2996,420,108,861,556,190,861,35,2996,2376,126,425,0,69,2996,0,79,57,43,277,14,92,252,890,370,171,402,349,2996,2353,583,60,0,1881,52,0,67,38,11,55,166,608,285,599,148166,195021,1765,201056,31,0,96,36164,52,0,13,0,52,410,0,0,52,0,11,0,20,32,40,255,238667,233450,111508,1471,144511,184310,98767,142757,84890,3273,3239,3100,200,34,31,0,3145,2982,2969,2935,2926,9,34,13,13,13,0,0,163,163,75,88,0,12.7,0,0,14.5,0,0,0,0,0,7.1,0,0,0,0,7.1,7.4,0,10.1,6,ACS_Economic_DC_CensusTract_4,,{1B2846DB-D11A-4318-BBCD-BC99B02077A2},004201,0,0
9,42.02,207646,0,11001004202,"Census Tract 42.02; District of Columbia; District of Columbia",2444,1887,1887,1822,65,0,557,1887,3.4,1225,1051,1051,1040,29,4,13,0,1811,195,0,449,520,123,524,24.2,1822,1550,50,173,38,11,1822,33,47,33,0,71,37,120,74,674,170,165,135,263,1822,1385,328,109,0,1563,18,71,21,11,78,175,331,343,210,305,112396,146113,1438,133679,186,31933,233,44983,10,0,15,0,39,235,0,0,0,0,12,12,25,77,15,94,135375,187911,91066,1328,100800,137923,79271,113207,84155,2486,2407,2209,315,79,51,0,2141,1732,1667,1613,1613,4,54,65,65,41,24,0,409,384,367,17,25,0,0,0,0,0,0,0,0,0,15.5,0,0,0,0,15.8,17.8,1,0,19.7,ACS_Economic_DC_CensusTract_5,,{1C1B7B1C-82C9-4E4C-A308-F0B6BF5E0610},004202,0,0
10,74.07,608700,0,11001007407,"Census Tract 74.07; District of Columbia; District of Columbia",2299,1537,1537,1337,200,0,762,1537,13,1481,1017,1017,817,283,283,726,615,1303,728,24,327,42,35,147,32.8,1337,608,313,294,20,102,1337,15,83,0,0,103,31,0,45,287,212,147,94,320,1337,747,525,65,0,1433,220,22,66,235,144,204,237,207,49,49,57521,67539,1104,75859,276,12846,183,19249,203,8773,225,4067,436,837,146,0,12,155,87,89,158,141,0,49,51595,70097,30513,596,40833,60899,55313,60875,70399,3216,3144,1575,1819,72,1090,0,1784,1438,1266,1194,923,372,72,172,172,0,172,0,346,346,120,249,0,17.4,25.2,0,14.7,0,0,18.9,26.9,0,25.7,40.9,40.9,0,54.3,18.2,16,29.8,28,17.6,ACS_Economic_DC_CensusTract_6,,{9A56F002-D279-41C1-B1AC-699D367A6AC7},007407,0,0
